Name	Type	Species	Height	Weight	Abilities	Local_Num	National_Num	Catch_Rate	EV_Yield	Base_Friendship	Base_Exp	Growth_Rate	Egg_Groups	Gender	Egg_Cycles	Stats	Total	Learnset
Wartortle	Water	Turtle Pokemon	1.0	22.5	('Torrent', 'Rain Dish')	{'R/B/Y': 8, 'G/S/C': 233, 'FR/LG': 8, 'HG/SS': 238, 'X/Y': 87}	8	45	[0, 0, 1, 0, 1, 0]	50	142	Medium Slow	('Monster', 'Water 1')	(87.5, 12.5)	20	[59, 63, 80, 65, 80, 58]	405	[('Bubble', 1), ('Tackle', 1), ('Tail Whip', 1), ('Tail Whip', 4), ('Bubble', 7), ('Withdraw', 10), ('Water Gun', 13), ('Bite', 16), ('Rapid Spin', 20), ('Protect', 24), ('Water Pulse', 28), ('Aqua Tail', 32), ('Skull Bash', 36), ('Rain Dance', 40), ('Hydro Pump', 44)]
Blastoise	Water	Shellfish Pokemon	1.6	85.5	('Torrent', 'Rain Dish')	{'R/B/Y': 9, 'G/S/C': 234, 'FR/LG': 9, 'HG/SS': 239, 'X/Y': 88}	9	45	[0, 0, 0, 0, 3, 0]	50	239	Medium Slow	('Monster', 'Water 1')	(87.5, 12.5)	20	[79, 83, 100, 85, 105, 78]	530	[('Bubble', 1), ('Flash Cannon', 1), ('Tackle', 1), ('Tail Whip', 1), ('Withdraw', 1), ('Tail Whip', 4), ('Bubble', 7), ('Withdraw', 10), ('Water Gun', 13), ('Bite', 16), ('Rapid Spin', 20), ('Protect', 24), ('Water Pulse', 28), ('Aqua Tail', 32), ('Skull Bash', 39), ('Rain Dance', 46), ('Hydro Pump', 53)]
Mega Blastoise	Water	Shellfish Pokemon	1.6	101.1	('Mega Launcher', '')	{'R/B/Y': 9, 'G/S/C': 234, 'FR/LG': 9, 'HG/SS': 239, 'X/Y': 88}	9	45	[0, 0, 0, 0, 3, 0]	50	284	Medium Slow	('Monster', 'Water 1')	(87.5, 12.5)	20	[79, 103, 120, 135, 115, 78]	630	[('Bubble', 1), ('Flash Cannon', 1), ('Tackle', 1), ('Tail Whip', 1), ('Withdraw', 1), ('Tail Whip', 4), ('Bubble', 7), ('Withdraw', 10), ('Water Gun', 13), ('Bite', 16), ('Rapid Spin', 20), ('Protect', 24), ('Water Pulse', 28), ('Aqua Tail', 32), ('Skull Bash', 39), ('Rain Dance', 46), ('Hydro Pump', 53)]
Caterpie	Bug	Worm Pokemon	0.3	2.9	('Shield Dust', 'Run Away')	{'R/B/Y': 10, 'G/S/C': 24, 'FR/LG': 10, 'HG/SS': 24, 'X/Y': 23, 'S/M': 17, 'US/UM': 17, 'S/S': 13}	10	255	[1, 0, 0, 0, 0, 0]	50	39	Medium Fast	Bug	(50.0, 50.0)	15	[45, 30, 35, 20, 20, 45]	195	[('String Shot', 1), ('Tackle', 1)]
Metapod	Bug	Cocoon Pokemon	0.7	9.9	('Shed Skin', '')	{'R/B/Y': 11, 'G/S/C': 25, 'FR/LG': 11, 'HG/SS': 25, 'X/Y': 24, 'S/M': 18, 'US/UM': 18, 'S/S': 14}	11	120	[0, 0, 2, 0, 0, 0]	50	72	Medium Fast	Bug	(50.0, 50.0)	15	[50, 20, 55, 25, 25, 30]	205	[('Harden', 1), ('Harden', 7)]
Butterfree	('Bug', 'Flying')	Butterfly Pokemon	1.1	32.0	('Compound Eyes', 'Tinted Lens')	{'R/B/Y': 12, 'G/S/C': 26, 'FR/LG': 12, 'HG/SS': 26, 'X/Y': 25, 'S/M': 19, 'US/UM': 19, 'S/S': 15}	12	45	[0, 0, 0, 2, 1, 0]	50	178	Medium Fast	Bug	(50.0, 50.0)	15	[60, 45, 50, 90, 80, 70]	395	[('Confusion', 1), ('Confusion', 10), ('Poison Powder', 12), ('Sleep Powder', 12), ('Stun Spore', 12), ('Gust', 16), ('Supersonic', 18), ('Whirlwind', 22), ('Psybeam', 24), ('Silver Wind', 28), ('Tailwind', 30), ('Safeguard', 34), ('Captivate', 36), ('Bug Buzz', 40)]
Weedle	('Bug', 'Poison')	Hairy Bug Pokemon	0.3	3.2	('Shield Dust', 'Run Away')	{'R/B/Y': 13, 'G/S/C': 27, 'FR/LG': 13, 'HG/SS': 27, 'X/Y': 26}	13	255	[0, 0, 0, 0, 0, 1]	50	39	Medium Fast	Bug	(50.0, 50.0)	15	[40, 35, 30, 20, 20, 50]	195	[('Poison Sting', 1), ('String Shot', 1)]
Kakuna	('Bug', 'Poison')	Cocoon Pokemon	0.6	10.0	('Shed Skin', '')	{'R/B/Y': 14, 'G/S/C': 28, 'FR/LG': 14, 'HG/SS': 28, 'X/Y': 27}	14	120	[0, 0, 2, 0, 0, 0]	50	72	Medium Fast	Bug	(50.0, 50.0)	15	[45, 25, 50, 25, 25, 35]	205	[('Harden', 1), ('Harden', 7)]
Beedrill	('Bug', 'Poison')	Poison Bee Pokemon	1.0	29.5	('Swarm', 'Sniper')	{'R/B/Y': 15, 'G/S/C': 29, 'FR/LG': 15, 'HG/SS': 29, 'X/Y': 28}	15	45	[0, 2, 0, 0, 1, 0]	50	178	Medium Fast	Bug	(50.0, 50.0)	15	[65, 90, 40, 45, 80, 75]	395	[('Fury Attack', 1), ('Fury Attack', 10), ('Focus Energy', 13), ('Twineedle', 16), ('Rage', 19), ('Pursuit', 22), ('Toxic Spikes', 25), ('Pin Missile', 28), ('Agility', 31), ('Assurance', 34), ('Poison Jab', 37), ('Endeavor', 40)]
Mega Beedrill	('Bug', 'Poison')	Poison Bee Pokemon	1.4	40.5	('Adaptability', '')	{'R/B/Y': 15, 'G/S/C': 29, 'FR/LG': 15, 'HG/SS': 29, 'X/Y': 28}	15	45	[0, 2, 0, 0, 1, 0]	50	223	Medium Fast	Bug	(50.0, 50.0)	15	[65, 150, 40, 15, 80, 145]	495	[('Fury Attack', 1), ('Fury Attack', 10), ('Focus Energy', 13), ('Twineedle', 16), ('Rage', 19), ('Pursuit', 22), ('Toxic Spikes', 25), ('Pin Missile', 28), ('Agility', 31), ('Assurance', 34), ('Poison Jab', 37), ('Endeavor', 40)]
Pidgey	('Normal', 'Flying')	Tiny Bird Pokemon	0.3	1.8	('Keen Eye', 'Tangled Feet', 'Big Pecks')	{'R/B/Y': 16, 'G/S/C': 10, 'FR/LG': 16, 'HG/SS': 10, 'X/Y': 17}	16	255	[0, 0, 0, 0, 0, 1]	50	50	Medium Slow	Flying	(50.0, 50.0)	15	[40, 45, 40, 35, 35, 56]	251	[('Tackle', 1), ('Sand -Attack', 5), ('Gust', 9), ('Quick Attack', 13), ('Whirlwind', 17), ('Twister', 21), ('Feather Dance', 25), ('Agility', 29), ('Wing Attack', 33), ('Roost', 37), ('Tailwind', 41), ('Mirror Move', 45), ('Air Slash', 49)]
Pidgeotto	('Normal', 'Flying')	Bird Pokemon	1.1	30.0	('Keen Eye', 'Tangled Feet', 'Big Pecks')	{'R/B/Y': 17, 'G/S/C': 11, 'FR/LG': 17, 'HG/SS': 11, 'X/Y': 18}	17	120	[0, 0, 0, 0, 0, 2]	50	122	Medium Slow	Flying	(50.0, 50.0)	15	[63, 60, 55, 50, 50, 71]	349	[('Gust', 1), ('Sand -Attack', 1), ('Tackle', 1), ('Sand -Attack', 5), ('Gust', 9), ('Quick Attack', 13), ('Whirlwind', 17), ('Twister', 22), ('Feather Dance', 27), ('Agility', 32), ('Wing Attack', 37), ('Roost', 42), ('Tailwind', 47), ('Mirror Move', 52), ('Air Slash', 57)]
Pidgeot	('Normal', 'Flying')	Bird Pokemon	1.5	39.5	('Keen Eye', 'Tangled Feet', 'Big Pecks')	{'R/B/Y': 18, 'G/S/C': 12, 'FR/LG': 18, 'HG/SS': 12, 'X/Y': 19}	18	45	[0, 0, 0, 0, 0, 3]	50	216	Medium Slow	Flying	(50.0, 50.0)	15	[83, 80, 75, 70, 70, 101]	479	[('Gust', 1), ('Quick Attack', 1), ('Sand -Attack', 1), ('Tackle', 1), ('Sand -Attack', 5), ('Gust', 9), ('Quick Attack', 13), ('Whirlwind', 17), ('Twister', 22), ('Feather Dance', 27), ('Agility', 32), ('Wing Attack', 38), ('Roost', 44), ('Tailwind', 50), ('Mirror Move', 56), ('Air Slash', 62)]
Mega Pidgeot	('Normal', 'Flying')	Bird Pokemon	2.2	50.5	('No Guard', '')	{'R/B/Y': 18, 'G/S/C': 12, 'FR/LG': 18, 'HG/SS': 12, 'X/Y': 19}	18	45	[0, 0, 0, 0, 0, 3]	50	261	Medium Slow	Flying	(50.0, 50.0)	15	[83, 80, 80, 135, 80, 121]	579	[('Gust', 1), ('Quick Attack', 1), ('Sand -Attack', 1), ('Tackle', 1), ('Sand -Attack', 5), ('Gust', 9), ('Quick Attack', 13), ('Whirlwind', 17), ('Twister', 22), ('Feather Dance', 27), ('Agility', 32), ('Wing Attack', 38), ('Roost', 44), ('Tailwind', 50), ('Mirror Move', 56), ('Air Slash', 62)]
Rattata	Normal	Mouse Pokemon	0.3	3.5	('Run Away', 'Guts', 'Hustle')	{'R/B/Y': 19, 'G/S/C': 17, 'FR/LG': 19, 'HG/SS': 17, 'B2/W2': 59, 'B/W': 59, 'S/M': 15, 'US/UM': 15}	19	255	[0, 0, 0, 0, 0, 1]	50	51	Medium Fast	Field	(50.0, 50.0)	15	[30, 56, 35, 25, 35, 72]	253	[('Tackle', 1), ('Tail Whip', 1), ('Quick Attack', 4), ('Focus Energy', 7), ('Bite', 10), ('Pursuit', 13), ('Hyper Fang', 16), ('Sucker Punch', 19), ('Crunch', 22), ('Assurance', 25), ('Super Fang', 28), ('Double -Edge', 31), ('Endeavor', 34)]
Alolan Rattata	('Dark', 'Normal')	Mouse Pokemon	0.3	3.8	('Gluttony', 'Hustle', 'Thick Fat')	{'R/B/Y': 19, 'G/S/C': 17, 'FR/LG': 19, 'HG/SS': 17, 'B2/W2': 59, 'B/W': 59, 'S/M': 15, 'US/UM': 15}	19	255	[0, 0, 0, 0, 0, 1]	50	51	Medium Fast	Field	(50.0, 50.0)	15	[30, 56, 35, 25, 35, 72]	253	[('Tackle', 1), ('Tail Whip', 1), ('Quick Attack', 4), ('Focus Energy', 7), ('Bite', 10), ('Pursuit', 13), ('Hyper Fang', 16), ('Sucker Punch', 19), ('Crunch', 22), ('Assurance', 25), ('Super Fang', 28), ('Double -Edge', 31), ('Endeavor', 34)]
Raticate	Normal	Mouse Pokemon	0.7	18.5	('Run Away', 'Guts', 'Hustle')	{'R/B/Y': 20, 'G/S/C': 18, 'FR/LG': 20, 'HG/SS': 18, 'B2/W2': 60, 'B/W': 60, 'S/M': 16, 'US/UM': 16}	20	127	[0, 0, 0, 0, 0, 2]	50	145	Medium Fast	Field	(50.0, 50.0)	15	[55, 81, 60, 50, 70, 97]	413	[('Focus Energy', 1), ('Quick Attack', 1), ('Swords Dance', 1), ('Tackle', 1), ('Tail Whip', 1), ('Quick Attack', 4), ('Focus Energy', 7), ('Bite', 10), ('Pursuit', 13), ('Hyper Fang', 16), ('Sucker Punch', 19), ('Scary Face', 20), ('Crunch', 24), ('Assurance', 29), ('Super Fang', 34), ('Double -Edge', 39), ('Endeavor', 44)]
Alolan Raticate	('Dark', 'Normal')	Mouse Pokemon	0.7	25.5	('Gluttony', 'Hustle', 'Thick Fat')	{'R/B/Y': 20, 'G/S/C': 18, 'FR/LG': 20, 'HG/SS': 18, 'B2/W2': 60, 'B/W': 60, 'S/M': 16, 'US/UM': 16}	20	127	[0, 0, 0, 0, 0, 2]	50	145	Medium Fast	Field	(50.0, 50.0)	15	[75, 71, 70, 40, 80, 77]	413	[('Focus Energy', 1), ('Quick Attack', 1), ('Swords Dance', 1), ('Tackle', 1), ('Tail Whip', 1), ('Quick Attack', 4), ('Focus Energy', 7), ('Bite', 10), ('Pursuit', 13), ('Hyper Fang', 16), ('Sucker Punch', 19), ('Scary Face', 20), ('Crunch', 24), ('Assurance', 29), ('Super Fang', 34), ('Double -Edge', 39), ('Endeavor', 44)]
Spearow	('Normal', 'Flying')	Tiny Bird Pokemon	0.3	2.0	('Keen Eye', 'Sniper')	{'R/B/Y': 21, 'G/S/C': 13, 'FR/LG': 21, 'HG/SS': 13, 'X/Y': 109, 'S/M': 73, 'US/UM': 87}	21	255	[0, 0, 0, 0, 0, 1]	50	52	Medium Fast	Flying	(50.0, 50.0)	15	[40, 60, 30, 31, 31, 70]	262	[('Growl', 1), ('Peck', 1), ('Leer', 5), ('Fury Attack', 9), ('Pursuit', 13), ('Aerial Ace', 17), ('Mirror Move', 21), ('Agility', 25), ('Assurance', 29), ('Roost', 33), ('Drill Peck', 37)]
Fearow	('Normal', 'Flying')	Beak Pokemon	1.2	38.0	('Keen Eye', 'Sniper')	{'R/B/Y': 22, 'G/S/C': 14, 'FR/LG': 22, 'HG/SS': 14, 'X/Y': 110, 'S/M': 74, 'US/UM': 88}	22	90	[0, 0, 0, 0, 0, 2]	50	155	Medium Fast	Flying	(50.0, 50.0)	15	[65, 90, 65, 61, 61, 100]	442	[('Fury Attack', 1), ('Growl', 1), ('Leer', 1), ('Peck', 1), ('Pluck', 1), ('Leer', 5), ('Fury Attack', 9), ('Pursuit', 13), ('Aerial Ace', 17), ('Mirror Move', 23), ('Agility', 29), ('Assurance', 35), ('Roost', 41), ('Drill Peck', 47)]
Ekans	Poison	Snake Pokemon	2.0	6.9	('Intimidate', 'Shed Skin', 'Unnerve')	{'R/B/Y': 23, 'G/S/C': 50, 'FR/LG': 23, 'HG/SS': 50, 'X/Y': 37, 'US/UM': 61}	23	255	[0, 1, 0, 0, 0, 0]	50	58	Medium Fast	('Dragon', 'Field')	(50.0, 50.0)	20	[35, 60, 44, 40, 54, 55]	288	[('Leer', 1), ('Wrap', 1), ('Poison Sting', 4), ('Bite', 9), ('Glare', 12), ('Screech', 17), ('Acid', 20), ('Spit Up', 25), ('Stockpile', 25), ('Swallow', 25), ('Mud Bomb', 28), ('Gastro Acid', 33), ('Haze', 36), ('Gunk Shot', 41)]
Arbok	Poison	Cobra Pokemon	3.5	65.0	('Intimidate', 'Shed Skin', 'Unnerve')	{'R/B/Y': 24, 'G/S/C': 51, 'FR/LG': 24, 'HG/SS': 51, 'X/Y': 38, 'US/UM': 62}	24	90	[0, 2, 0, 0, 0, 0]	50	157	Medium Fast	('Dragon', 'Field')	(50.0, 50.0)	20	[60, 95, 69, 65, 79, 80]	448	[('Bite', 1), ('Fire Fang', 1), ('Ice Fang', 1), ('Leer', 1), ('Poison Sting', 1), ('Thunder Fang', 1), ('Wrap', 1), ('Poison Sting', 4), ('Bite', 9), ('Glare', 12), ('Screech', 17), ('Acid', 20), ('Crunch', 22), ('Spit Up', 28), ('Stockpile', 28), ('Swallow', 28), ('Mud Bomb', 34), ('Gastro Acid', 42), ('Haze', 48), ('Gunk Shot', 56)]
Pikachu	Electric	Mouse Pokemon	0.4	6.0	('Static', 'Lightning Rod')	{'G/S/C': 22, 'FR/LG': 25, 'HG/SS': 22, 'R/S/E': 156, 'OR/AS': 163, 'D/P': 104}	25	190	[0, 0, 0, 0, 0, 2]	50	112	Medium Fast	('Fairy', 'Field')	(50.0, 50.0)	10	[35, 55, 40, 50, 50, 90]	320	[('Growl', 1), ('Thunder Shock', 1), ('Tail Whip', 5), ('Thunder Wave', 10), ('Quick Attack', 13), ('Double Team', 18), ('Slam', 21), ('Thunderbolt', 26), ('Feint', 29), ('Agility', 34), ('Discharge', 37), ('Light Screen', 42), ('Thunder', 45)]
Raichu	Electric	Mouse Pokemon	0.8	30.0	('Static', 'Lightning Rod')	{'G/S/C': 23, 'FR/LG': 26, 'HG/SS': 23, 'R/S/E': 157, 'OR/AS': 164, 'D/P': 105}	26	75	[0, 0, 0, 0, 0, 3]	50	218	Medium Fast	('Fairy', 'Field')	(50.0, 50.0)	10	[60, 90, 55, 90, 80, 110]	485	[('Quick Attack', 1), ('Tail Whip', 1), ('Thunder Shock', 1), ('Thunderbolt', 1)]
Sandshrew	Ground	Mouse Pokemon	0.6	12.0	('Sand Veil', 'Sand Rush')	{'R/B/Y': 27, 'G/S/C': 48, 'FR/LG': 27, 'HG/SS': 48, 'R/S/E': 112, 'OR/AS': 117, 'B2/W2': 113, 'B/W': 113, 'X/Y': 97, 'S/M': 251, 'US/UM': 328}	27	255	[0, 0, 1, 0, 0, 0]	50	60	Medium Fast	Field	(50.0, 50.0)	20	[50, 75, 85, 20, 30, 40]	300	[('Scratch', 1), ('Defense Curl', 3), ('Sand -Attack', 7), ('Poison Sting', 9), ('Rapid Spin', 13), ('Swift', 15), ('Fury Swipes', 19), ('Rollout', 21), ('Fury Cutter', 25), ('Sand Tomb', 27), ('Slash', 31), ('Gyro Ball', 33), ('Sandstorm', 37)]
Alolan Sandshrew	('Ice', 'Steel')	Mouse Pokemon	0.7	40.0	('Snow Cloak', 'Slush Rush')	{'R/B/Y': 27, 'G/S/C': 48, 'FR/LG': 27, 'HG/SS': 48, 'R/S/E': 112, 'OR/AS': 117, 'B2/W2': 113, 'B/W': 113, 'X/Y': 97, 'S/M': 251, 'US/UM': 328}	27	255	[0, 0, 1, 0, 0, 0]	50	60	Medium Fast	Field	(50.0, 50.0)	20	[50, 75, 90, 10, 35, 40]	300	[('Scratch', 1), ('Defense Curl', 3), ('Sand -Attack', 7), ('Poison Sting', 9), ('Rapid Spin', 13), ('Swift', 15), ('Fury Swipes', 19), ('Rollout', 21), ('Fury Cutter', 25), ('Sand Tomb', 27), ('Slash', 31), ('Gyro Ball', 33), ('Sandstorm', 37)]
Sandslash	Ground	Mouse Pokemon	1.0	29.5	('Sand Veil', 'Sand Rush')	{'R/B/Y': 28, 'G/S/C': 49, 'FR/LG': 28, 'HG/SS': 49, 'R/S/E': 113, 'OR/AS': 118, 'B2/W2': 114, 'B/W': 114, 'X/Y': 98, 'S/M': 252, 'US/UM': 329}	28	90	[0, 0, 2, 0, 0, 0]	50	158	Medium Fast	Field	(50.0, 50.0)	20	[75, 100, 110, 45, 55, 65]	450	[('Defense Curl', 1), ('Sand -Attack', 1), ('Scratch', 1), ('Defense Curl', 3), ('Sand -Attack', 7), ('Poison Sting', 9), ('Rapid Spin', 13), ('Swift', 15), ('Fury Swipes', 19), ('Rollout', 21), ('Crush Claw', 22), ('Fury Cutter', 28), ('Sand Tomb', 33), ('Slash', 40), ('Gyro Ball', 45), ('Sandstorm', 52)]
Alolan Sandslash	('Ice', 'Steel')	Mouse Pokemon	1.2	55.0	('Snow Cloak', 'Slush Rush')	{'R/B/Y': 28, 'G/S/C': 49, 'FR/LG': 28, 'HG/SS': 49, 'R/S/E': 113, 'OR/AS': 118, 'B2/W2': 114, 'B/W': 114, 'X/Y': 98, 'S/M': 252, 'US/UM': 329}	28	90	[0, 0, 2, 0, 0, 0]	50	158	Medium Fast	Field	(50.0, 50.0)	20	[75, 100, 120, 25, 65, 65]	450	[('Defense Curl', 1), ('Sand -Attack', 1), ('Scratch', 1), ('Defense Curl', 3), ('Sand -Attack', 7), ('Poison Sting', 9), ('Rapid Spin', 13), ('Swift', 15), ('Fury Swipes', 19), ('Rollout', 21), ('Crush Claw', 22), ('Fury Cutter', 28), ('Sand Tomb', 33), ('Slash', 40), ('Gyro Ball', 45), ('Sandstorm', 52)]
Nidoran♀	Poison	Poison Pin Pokemon	0.4	7.0	('Poison Point', 'Rivalry', 'Hustle')	{'R/B/Y': 29, 'G/S/C': 95, 'FR/LG': 29, 'HG/SS': 95, 'X/Y': 104}	29	235	[1, 0, 0, 0, 0, 0]	50	55	Medium Slow	('Field', 'Monster')	(0.0, 100.0)	20	[55, 47, 52, 40, 40, 41]	275	[('Growl', 1), ('Scratch', 1), ('Tail Whip', 7), ('Double Kick', 9), ('Poison Sting', 13), ('Fury Swipes', 19), ('Bite', 21), ('Helping Hand', 25), ('Toxic Spikes', 31), ('Flatter', 33), ('Crunch', 37), ('Captivate', 43), ('Poison Fang', 45)]
