Erratic	Fast	Medium Fast	Medium Slow	Slow	Fluctuating	Level	Erratic_2	Fast_2	Medium_Fast_2	Medium_Slow_2	Slow_2	Fluctuating_2
233431	219700	274625	272535	343281	351520	65	8065	10296	12871	13580	16089	22224
241496	229996	287496	286115	359370	373744	66	8137	10614	13267	14025	16583	17247
249633	240610	300763	300140	375953	390991	67	8201	10935	13669	14478	17087	24059
257834	251545	314432	314618	393040	415050	68	9572	11262	14077	14937	17596	18581
267406	262807	328509	329555	410636	433631	69	9052	11593	14491	15405	18114	25989
276458	274400	343000	344960	428750	459620	70	9870	11928	14911	15878	18638	19980
286328	286328	357911	360838	447388	479600	71	10030	12270	15337	16359	19172	28017
296358	298598	373248	377197	466560	507617	72	9409	12615	15769	16848	19711	21446
305767	311213	389017	394045	486271	529063	73	10307	12966	16207	17343	20259	30146
316074	324179	405224	411388	506530	559209	74	10457	13321	16651	17847	20813	22978
326531	337500	421875	429235	527343	582187	75	9724	13680	17101	18356	21377	32379
336255	351180	438976	447591	548720	614566	76	10710	14046	17557	18873	21946	24580
346965	365226	456533	466464	570666	639146	77	10847	14415	18019	19398	22524	34717
357812	379641	474552	485862	593190	673863	78	9995	14790	18487	19929	23108	26252
367807	394431	493039	505791	616298	700115	79	11073	15169	18961	20469	23702	37165
378880	409600	512000	526260	640000	737280	80	11197	15552	19441	21014	24301	27995
390077	425152	531441	547274	664301	765275	81	10216	15942	19927	21567	24909	39722
400293	441094	551368	568841	689210	804997	82	11393	16335	20419	22128	25523	29812
411686	457429	571787	590969	714733	834809	83	11504	16734	20917	22695	26147	42392
423190	474163	592704	613664	740880	877201	84	10382	17137	21421	23271	26776	31704
433572	491300	614125	636935	767656	908905	85	11667	17544	21931	23852	27414	45179
445239	508844	636056	660787	795070	954084	86	11762	17958	22447	24441	28058	33670
457001	526802	658503	685228	823128	987754	87	10488	18375	22969	25038	28712	48083
467489	545177	681472	710266	851840	1035837	88	11889	18798	23497	25641	29371	35715
479378	563975	704969	735907	881211	1071552	89	11968	19225	24031	26253	30039	51108
491346	583200	729000	762160	911250	1122660	90	10532	19656	24571	26870	30713	37839
501878	602856	753571	789030	941963	1160499	91	12056	20094	25117	27495	31397	54254
513934	622950	778688	816525	973360	1214753	92	12115	20535	25669	28128	32086	40043
526049	643485	804357	844653	1005446	1254796	93	10508	20982	26227	28767	32784	57526
536557	664467	830584	873420	1038230	1312322	94	12163	21433	26791	29415	33488	42330
548720	685900	857375	902835	1071718	1354652	95	12202	21888	27361	30068	34202	60925
560922	707788	884736	932903	1105920	1415577	96	10411	22350	27937	30729	34921	44699
571333	730138	912673	963632	1140841	1460276	97	12206	22815	28519	31398	35649	64455
583539	752953	941192	995030	1176490	1524731	98	8343	23286	29107	32073	36383	47153
591882	776239	970299	1027103	1212873	1571884	99	8118	23761	29701	32757	37127	68116
600000	800000	1000000	1059860	1250000	1640000	100	-	-	-	-	-	-
